age,diploma,gender,living_place,csp,close_fam,close_friends,close_neighbors,close_colleagues,knows_fam,knows_friends,knows_neighbors,knows_colleagues,find_job,weight,csoc_Q01_01,csoc_Q01_02,csoc_Q01_03,csoc_Q01_04,csoc_Q01_05,csoc_Q01_06,csoc_Q01_07,csoc_Q01_08,csoc_Q01_09,csoc_Q01_10
6,1,2,1,5,3,4,,1,3,2,1,1,8,0.843357497632956,1,4,3,3,4,4,1,1,2,1
3,3,1,1,2,4,4,3,1,3,2,2,3,7,0.818731667716521,2,3,4,3,3,4,2,2,3,2
6,1,2,0,5,3,2,1,1,1,4,1,1,8,1.09794369749212,3,1,,3,1,3,3,3,,
5,2,1,2,2,3,3,2,3,4,5,3,4,7,0.260503832889287,1,1,3,1,2,3,2,2,4,1
3,4,2,0,4,2,3,1,3,4,1,1,3,1,0.466977013011149,4,2,4,1,2,4,2,2,2,2
5,2,1,7,4,4,1,1,1,4,1,1,1,5,2.30810965255403,1,4,3,3,4,4,3,2,1,4
7,1,1,2,3,3,3,1,1,3,3,1,1,6,2.61882419188891,4,3,3,3,4,2,2,1,3,1
4,1,1,0,6,2,3,2,3,2,3,3,3,3,4.25418971188109,2,4,4,2,3,4,4,2,2,2
3,4,2,0,4,4,3,3,3,3,3,1,4,3,0.425398540137166,3,3,2,3,3,4,3,3,3,2
4,3,1,0,4,4,3,2,3,4,2,3,3,6,0.556378749116175,3,3,3,3,3,3,3,3,3,3
6,3,2,3,5,3,3,1,1,3,3,1,1,8,0.717458383830814,4,4,4,4,4,4,4,1,4,1
3,3,2,3,3,4,4,3,1,4,4,1,1,3,0.0313062984580301,3,3,3,3,3,3,3,3,3,2
2,3,2,1,5,3,3,1,3,1,2,2,1,7,1.64006007325757,3,4,3,3,4,4,4,4,5,5
3,4,2,5,6,3,1,1,1,3,3,3,2,3,0.481910545522263,4,1,5,3,5,5,5,5,1,1
5,4,1,7,3,5,1,1,1,6,1,1,1,7,0.659846578879573,4,1,3,4,1,4,3,3,1,1
4,3,2,0,4,4,3,1,1,5,4,1,4,7,0.571690300955714,4,4,4,3,4,4,4,3,3,3
5,3,1,7,3,3,3,2,1,1,3,3,4,7,0.486515802689232,4,3,4,4,4,4,4,4,4,4
5,3,2,6,5,3,3,1,3,5,3,1,5,6,0.203535722595846,3,4,3,1,3,4,4,3,3,3
5,2,1,0,6,2,3,2,3,2,2,1,4,8,0.413843238023942,3,4,4,4,4,4,3,4,4,2
